n:132 mse_avg:49.51 mse_y:74.63 mse_u:20.10 mse_v:28.68 psnr_avg:43.25 psnr_y:41.47 psnr_u:47.17 psnr_v:45.62 
n:133 mse_avg:52.74 mse_y:80.81 mse_u:20.29 mse_v:29.05 psnr_avg:42.98 psnr_y:41.12 psnr_u:47.13 psnr_v:45.57 
n:134 mse_avg:53.07 mse_y:81.44 mse_u:20.21 mse_v:29.19 psnr_avg:42.95 psnr_y:41.09 psnr_u:47.14 psnr_v:45.54 
n:135 mse_avg:57.09 mse_y:88.43 mse_u:21.35 mse_v:30.14 psnr_avg:42.63 psnr_y:40.73 psnr_u:46.90 psnr_v:45.41 
n:136 mse_avg:51.39 mse_y:78.79 mse_u:19.70 mse_v:28.30 psnr_avg:43.09 psnr_y:41.23 psnr_u:47.25 psnr_v:45.68 
n:137 mse_avg:53.59 mse_y:82.53 mse_u:19.85 mse_v:29.46 psnr_avg:42.91 psnr_y:41.03 psnr_u:47.22 psnr_v:45.50 
n:138 mse_avg:52.67 mse_y:80.54 mse_u:19.77 mse_v:29.83 psnr_avg:42.98 psnr_y:41.14 psnr_u:47.24 psnr_v:45.45 
n:139 mse_avg:55.21 mse_y:84.90 mse_u:20.74 mse_v:30.29 psnr_avg:42.78 psnr_y:40.91 psnr_u:47.03 psnr_v:45.38 
n:140 mse_avg:50.42 mse_y:76.83 mse_u:19.18 mse_v:28.83 psnr_avg:43.17 psnr_y:41.34 psnr_u:47.37 psnr_v:45.60 
n:141 mse_avg:53.18 mse_y:81.39 mse_u:19.54 mse_v:30.39 psnr_avg:42.94 psnr_y:41.09 psnr_u:47.29 psnr_v:45.37 
n:142 mse_avg:51.68 mse_y:78.39 mse_u:19.34 mse_v:30.59 psnr_avg:43.06 psnr_y:41.25 psnr_u:47.33 psnr_v:45.34 
n:143 mse_avg:53.40 mse_y:80.88 mse_u:20.29 mse_v:31.54 psnr_avg:42.92 psnr_y:41.12 psnr_u:47.12 psnr_v:45.21 
n:144 mse_avg:49.19 mse_y:74.33 mse_u:18.61 mse_v:29.50 psnr_avg:43.28 psnr_y:41.49 psnr_u:47.50 psnr_v:45.50 
n:145 mse_avg:49.78 mse_y:74.94 mse_u:18.80 mse_v:30.43 psnr_avg:43.23 psnr_y:41.45 psnr_u:47.46 psnr_v:45.36 
n:146 mse_avg:49.89 mse_y:74.22 mse_u:18.90 mse_v:32.22 psnr_avg:43.22 psnr_y:41.49 psnr_u:47.43 psnr_v:45.12 
n:147 mse_avg:52.40 mse_y:77.91 mse_u:19.91 mse_v:33.88 psnr_avg:43.00 psnr_y:41.28 psnr_u:47.21 psnr_v:44.90 
n:148 mse_avg:47.61 mse_y:70.63 mse_u:18.29 mse_v:30.87 psnr_avg:43.42 psnr_y:41.71 psnr_u:47.58 psnr_v:45.30 
